iter	Passed	Remaining
455	962	1148
456	963	1145
457	965	1142
458	967	1139
459	968	1137
460	972	1137
461	974	1135
462	977	1133
463	979	1131
464	981	1129
465	983	1127
466	987	1126
467	990	1125
468	992	1123
469	994	1121
470	996	1119
471	998	1116
472	1002	1117
473	1009	1119
474	1011	1118
475	1014	1116
476	1018	1116
477	1020	1114
478	1021	1111
479	1023	1108
480	1025	1106
481	1026	1103
482	1028	1100
483	1030	1098
484	1034	1098
485	1037	1097
486	1039	1094
487	1041	1092
488	1043	1090
489	1045	1088
490	1050	1088
491	1052	1086
492	1054	1084
493	1056	1082
494	1058	1080
495	1060	1077
496	1064	1077
497	1067	1075
498	1069	1073
499	1071	1071
500	1073	1068
501	1075	1067
502	1080	1067
503	1082	1065
504	1084	1063
505	1087	1061
506	1089	1059
507	1091	1057
508	1100	1062
509	1103	1060
510	1105	1058
511	1108	1056
512	1121	1064
513	1123	1062
514	1128	1063
515	1131	1061
516	1135	1060
517	1138	1059
518	1143	1059
519	1147	1059
520	1152	1059
521	1154	1057
522	1161	1059
523	1163	1057
524	1165	1054
525	1167	1052
526	1169	1049
527	1171	1047
528	1174	1045
529	1176	1043
530	1178	1040
531	1180	1038
532	1182	1035
533	1183	1033
534	1186	1031
535	1189	1029
536	1196	1031
537	1199	1030
538	1211	1036
539	1226	1044
540	1237	1049
541	1241	1048
542	1243	1046
543	1246	1045
544	1250	1044
545	1254	1043
546	1257	1041
547	1259	1038
548	1263	1037
549	1273	1041
550	1275	1039
551	1277	1037
552	1280	1034
553	1284	1034
554	1287	1032
555	1289	1029
556	1292	1027
557	1294	1025
558	1297	1024
559	1301	1022
560	1303	1020
561	1306	1018
562	1308	1015
563	1313	1015
564	1316	1013
565	1319	1011
566	1321	1009
567	1325	1007
568	1328	1006
569	1330	1003
570	1332	1001
571	1335	999
572	1339	998
573	1344	997
574	1347	995
575	1349	993
576	1352	991
577	1354	989
578	1356	986
579	1362	986
580	1364	984
581	1366	981
582	1368	979
583	1370	976
584	1375	976
585	1378	973
586	1380	971
587	1383	969
588	1386	967
589	1388	964
590	1391	962
591	1393	960
592	1396	958
593	1398	955
594	1399	952
595	1402	950
596	1404	948
597	1406	945
598	1408	942
599	1409	939
600	1411	937
601	1414	935
602	1418	934
603	1420	931
604	1422	928
605	1426	927
606	1428	925
607	1433	924
608	1435	921
609	1437	919
610	1441	917
611	1443	915
612	1445	912
613	1448	910
614	1449	907
615	1451	905
616	1453	902
617	1455	899
618	1457	897
619	1459	894
620	1462	892
621	1464	890
622	1466	887
623	1468	884
624	1469	881
625	1471	879
626	1473	876
627	1474	873
628	1477	871
629	1479	869
630	1481	866
631	1482	863
632	1484	860
633	1486	858
634	1488	855
635	1489	852
636	1492	850
637	1493	847
638	1495	844
639	1497	842
640	1498	839
641	1500	836
642	1502	834
643	1504	831
644	1507	829
645	1509	827
646	1511	824
647	1512	821
648	1514	819
649	1515	816
650	1517	813
651	1519	810
652	1521	808
653	1523	806
654	1525	803
655	1526	800
656	1528	797
657	1530	795
658	1531	792
659	1533	789
660	1534	787
661	1538	785
662	1540	782
663	1542	780
664	1543	777
665	1545	775
666	1546	772
667	1548	769
668	1550	766
669	1552	764
670	1555	762
671	1557	760
672	1559	757
673	1561	755
674	1563	752
675	1565	750
676	1567	747
677	1569	745
678	1571	743
679	1573	740
680	1575	738
681	1577	735
682	1579	733
683	1582	731
684	1584	728
685	1585	725
686	1587	723
687	1589	720
688	1591	718
689	1593	715
690	1594	713
691	1597	710
692	1599	708
693	1600	705
694	1602	703
695	1603	700
696	1605	697
697	1607	695
698	1608	692
699	1610	690
700	1612	687
701	1614	685
702	1615	682
703	1617	680
704	1619	677
705	1620	674
706	1622	672
707	1623	669
708	1625	667
709	1628	665
710	1630	662
711	1631	660
712	1633	657
713	1635	654
714	1636	652
715	1638	649
716	1640	647
717	1642	644
718	1644	642
719	1645	640
720	1647	637
721	1649	635
722	1651	632
723	1652	630
724	1654	627
725	1656	625
726	1658	622
727	1660	620
728	1662	617
729	1664	615
730	1665	613
731	1667	610
732	1669	607
733	1672	606
734	1675	603
735	1676	601
736	1678	599
737	1680	596
738	1682	594
739	1684	591
740	1686	589
741	1688	587
742	1690	584
743	1691	582
744	1693	579
745	1695	577
746	1696	574
747	1698	572
748	1700	569
749	1703	567
750	1704	565
751	1706	562
752	1708	560
753	1709	557
754	1711	555
755	1712	552
756	1714	550
757	1717	548
758	1719	546
759	1721	543
760	1722	541
761	1724	538
762	1726	536
763	1727	533
764	1729	531
765	1732	529
766	1733	526
767	1735	524
768	1737	521
769	1738	519
770	1740	516
771	1742	514
772	1743	512
773	1745	509
774	1747	507
775	1749	504
776	1750	502
777	1752	500
778	1754	497
779	1755	495
780	1757	492
781	1759	490
782	1761	488
783	1763	485
784	1765	483
785	1766	481
786	1768	478
787	1770	476
788	1771	473
789	1773	471
790	1775	469
791	1777	466
792	1779	464
793	1781	462
794	1782	459
795	1784	457
796	1786	454
797	1787	452
798	1789	450
799	1791	447
800	1793	445
801	1794	443
802	1796	440
803	1798	438
804	1800	436
805	1801	433
806	1803	431
807	1805	429
808	1807	426
809	1809	424
810	1811	422
811	1813	419
812	1814	417
813	1816	415
814	1817	412
815	1820	410
816	1823	408
817	1825	406
818	1826	403
819	1828	401
820	1830	399
821	1832	396
822	1833	394
823	1836	392
824	1838	390
825	1840	387
826	1842	385
827	1843	383
828	1845	380
829	1847	378
830	1848	375
831	1851	373
832	1853	371
833	1856	369
834	1858	367
835	1860	364
836	1861	362
837	1863	360
838	1866	358
839	1867	355
840	1869	353
841	1871	351
842	1872	348
843	1874	346
844	1876	344
845	1877	341
846	1879	339
847	1881	337
848	1883	334
849	1885	332
850	1886	330
851	1888	328
852	1890	325
853	1891	323
854	1893	321
855	1895	318
856	1897	316
857	1899	314
858	1901	312
859	1902	309
860	1904	307
861	1905	305
862	1907	302
863	1909	300
864	1911	298
865	1912	296
866	1914	293
867	1916	291
868	1917	289
869	1919	286
870	1921	284
871	1922	282
872	1924	279
873	1926	277
874	1928	275
875	1929	273
876	1931	270
877	1933	268
878	1934	266
879	1936	264
880	1938	261
881	1939	259
882	1941	257
883	1943	255
884	1945	252
885	1946	250
886	1948	248
887	1950	246
888	1952	243
889	1953	241
890	1956	239
891	1958	237
892	1959	234
893	1961	232
894	1962	230
895	1964	227
896	1965	225
897	1966	223
898	1968	221
899	1970	218
900	1972	216
901	1973	214
902	1974	212
903	1976	209
904	1977	207
905	1979	205
906	1981	203
907	1982	200
908	1984	198
909	1986	196
910	1988	194
911	1989	191
912	1990	189
913	1992	187
914	1993	185
915	1995	182
916	1996	180
917	1998	178
918	2001	176
919	2003	174
920	2004	171
921	2005	169
922	2007	167
923	2008	165
924	2010	162
925	2011	160
926	2012	158
927	2014	156
928	2016	154
929	2018	151
930	2019	149
931	2021	147
932	2022	145
933	2023	143
934	2025	140
935	2026	138
936	2028	136
937	2030	134
938	2032	132
939	2033	129
940	2035	127
941	2036	125
942	2038	123
943	2040	121
944	2041	118
945	2042	116
946	2045	114
947	2046	112
948	2048	110
949	2049	107
950	2051	105
951	2053	103
952	2054	101
953	2056	99
954	2057	96
955	2060	94
956	2061	92
957	2063	90
958	2065	88
959	2066	86
960	2068	83
961	2069	81
962	2071	79
963	2072	77
964	2074	75
965	2076	73
966	2077	70
967	2079	68
968	2080	66
969	2082	64
970	2083	62
971	2085	60
972	2086	57
973	2088	55
974	2090	53
975	2091	51
976	2093	49
977	2094	47
978	2095	44
979	2097	42
980	2099	40
981	2100	38
982	2101	36
983	2103	34
984	2105	32
985	2107	29
986	2108	27
987	2110	25
988	2112	23
989	2113	21
990	2114	19
991	2116	17
992	2118	14
993	2120	12
994	2121	10
995	2123	8
996	2125	6
997	2126	4
998	2128	2
999	2129	0
